Sebastian Aho,Vincent Trocheck,Nikita Kucherov,Viktor Arvidsson,Filip Forsberg,Mike Matheson,Erik Gustafsson,Corey Crawford,Aleksander Barkov
Brayden Point,Vincent Trocheck,Nikita Kucherov,Patrick Kane,Viktor Arvidsson,Mikhail Sergachev,Mike Matheson,Corey Crawford,Aleksander Barkov
Sebastian Aho,Brayden Point,Nikita Kucherov,Johnny Gaudreau,Viktor Arvidsson,Mike Matheson,Erik Gustafsson,Corey Crawford,Vincent Trocheck
Sebastian Aho,Vincent Trocheck,Yanni Gourde,Nikita Kucherov,Patrick Kane,Victor Hedman,Mike Matheson,Corey Crawford,Aleksander Barkov
Sebastian Aho,Vincent Trocheck,Nikita Kucherov,Patrick Kane,Viktor Arvidsson,Mikhail Sergachev,Mike Matheson,Corey Crawford,Filip Forsberg
Vincent Trocheck,Aleksander Barkov,Nikita Kucherov,Frank Vatrano,Johnny Gaudreau,Mike Matheson,Erik Gustafsson,Corey Crawford,Patrick Kane
Vincent Trocheck,Aleksander Barkov,Nikita Kucherov,Patrick Kane,Alex DeBrincat,Mikhail Sergachev,Mike Matheson,Corey Crawford,Viktor Arvidsson
Sebastian Aho,Vincent Trocheck,Nikita Kucherov,Mike Hoffman,Patrick Kane,Mike Matheson,Erik Gustafsson,Corey Crawford,Viktor Arvidsson
Vincent Trocheck,Aleksander Barkov,Nikita Kucherov,Mike Hoffman,Johnny Gaudreau,Mikhail Sergachev,Mike Matheson,Corey Crawford,Patrick Kane
Sebastian Aho,Vincent Trocheck,Nikita Kucherov,Mike Hoffman,Johnny Gaudreau,Mike Matheson,Erik Gustafsson,Corey Crawford,Aleksander Barkov
